name,mmsi,imo_number,vessel_type,flag,latitude,longitude,status,speed,course,heading,callsign,destination,eta,length,width,draught
JLD LEWIS,256002311,IMO256002311,Other,MT,39.547929999999994,2.6338399999999997,underway,0.1,294.40,511,,,,,,
SILVER BONITO,235054667,IMO235054667,Other,🇬🇧,51.503121666666665,-0.12057833333333333,underway,0.1,360.00,511,,,,,,
LADY ANNA,246838000,IMO246838000,Other,NL,43.31946666666667,-1.9144783333333335,moored,,209.00,301,,,,,,
VB PHOENIX,232037001,IMO232037001,Other,🇬🇧,53.43071666666666,-2.999545,underway,,70.60,266,,,,,,
RIVERSCAPE,235054923,IMO235054923,Other,GB,51.50923833333333,-0.11830333333333334,underway,,321.80,511,,,,,,
FEDERAL KATSURA,538007353,IMO538007353,Other,🇬🇧,54.620805000000004,-5.89755,underway,2.0,54.40,51,,,,,,
DAUNTLESS,367026450,IMO367026450,Other,US,40.10088833333334,-74.03767666666666,inactive,,360.00,511,,,,,,
EEMS DOVER,245547000,IMO245547000,Other,NL,49.4686,-0.4822666666666667,inactive,,248.00,248,,,,,,
KALIKRATIS,241611000,IMO241611000,Other,GR,37.91777166666667,23.56825,anchored,0.1,330.70,259,,,,,,
PORT OF SYROS,237046010,IMO237046010,Other,GR,37.440173333333334,24.945311666666665,inactive,,265.70,511,,,,,,
L'ILE DUMET,227217470,IMO227217470,Other,FR,47.20554666666667,-1.752675,inactive,,276.10,511,,,,,,
NEREA,247443700,IMO247443700,Other,IT,38.54427,14.59058,underway,15.5,264.10,267,,,,,,
ATLANTIC FIR,316009640,IMO316009640,Other,CA,44.640526666666666,-63.56445,underway,11.8,1.30,3,,,,,,
PRIMO M,247487800,IMO247487800,Other,IT,45.39868166666667,-0.84162,underway,14.7,322.60,324,,,,,,
BLUE PAPILLON,319648000,IMO319648000,Other,KY,36.71658333333333,-4.414021666666667,moored,0.1,287.30,208,,,,,,
MARMORICA,247046600,IMO247046600,Other,IT,43.55683166666667,10.3027,moored,,308.00,219,,,,,,
ANDROS QUEEN,241835000,IMO241835000,Passenger,GR,37.46266166666667,25.32616,underway,,11.70,176,,,,,,
